基线 100%T,,苋菜红-4umol,,苋菜红-8umol,,苋菜红-12umol,,苋菜红-16umol,,苋菜红-20umol,,孔雀石绿-20umol,,柠檬黄-20umol,,荧光素钠-20umol,,日落黄-20umol,,groupA-unknown,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
800,-0.044529356,800,-7.88E-05,800,0.008654011,800,-0.00015446,800,-0.000269389,800,0.00298956,800,0.000740089,800,0.000549674,800,0.001376932,800,0.000337814,800,0.000665805
799,-0.044752046,799,-6.82E-05,799,0.008760603,799,-0.000276219,799,-0.000137277,799,0.00311242,799,0.000890406,799,0.000705733,799,0.001429158,799,0.000450727,799,0.000887708
798,-0.044842873,798,8.34E-05,798,0.008894038,798,-7.99E-05,798,-0.000158083,798,0.003081161,798,0.000868462,798,0.000638429,798,0.001377608,798,0.00042624,798,0.00074945
797,-0.045017984,797,-0.000115954,797,0.008837553,797,-0.000117144,797,-0.000208746,797,0.002981167,797,0.000844833,797,0.000726579,797,0.001364598,797,0.000433962,797,0.000752017
796,-0.045193162,796,9.84E-07,796,0.00875886,796,-0.00014768,796,-0.000225977,796,0.003048861,796,0.000842188,796,0.000613309,796,0.001376881,796,0.000480684,796,0.000767965
795,-0.045338701,795,-5.03E-05,795,0.008799301,795,-0.000249831,795,-0.000142194,795,0.003062313,795,0.000885996,795,0.000679365,795,0.001269853,795,0.000401185,795,0.000734955
794,-0.045518786,794,-1.13E-05,794,0.008882069,794,-0.000171176,794,-0.000194981,794,0.003108327,794,0.000890847,794,0.000755621,794,0.001318222,794,0.000444197,794,0.000810702
793,-0.045609407,793,6.32E-05,793,0.008767365,793,-0.000212213,793,-0.000261007,793,0.003012941,793,0.000756399,793,0.000667179,793,0.001206874,793,0.000397402,793,0.000766072
792,-0.04587999,792,5.72E-05,792,0.008837288,792,-0.000149129,792,-0.000207297,792,0.003103295,792,0.000846338,792,0.000759018,792,0.001440871,792,0.000512741,792,0.000856323
791,-0.046026234,791,-8.77E-05,791,0.008778882,791,-0.000224994,791,-0.000242432,791,0.002976788,791,0.00078674,791,0.000637262,791,0.001296361,791,0.000398749,791,0.000786973
790,-0.046202358,790,-4.45E-06,790,0.008735511,790,-0.000140849,790,-0.00024414,790,0.003106972,790,0.000972096,790,0.000679883,790,0.001386333,790,0.000471588,790,0.000795323
789,-0.046341788,789,-0.000103428,789,0.008743647,789,-0.000150734,789,-0.000365925,789,0.003004235,789,0.000776885,789,0.000663913,789,0.001254769,789,0.000317426,789,0.000735733
788,-0.046513088,788,-0.000109432,788,0.008788444,788,-0.000298414,788,-0.00018577,788,0.002984503,788,0.000810884,788,0.000556439,788,0.001359534,788,0.000364809,788,0.000767083
787,-0.046735227,787,-7.77E-05,787,0.008723837,787,-0.000162999,787,-0.000180646,787,0.003022715,787,0.000771854,787,0.000649291,787,0.00138532,787,0.000403491,787,0.000823281
786,-0.046976257,786,-7.10E-05,786,0.008861805,786,-0.000154305,786,-0.000218681,786,0.003066927,786,0.000904802,786,0.000701299,786,0.001516404,786,0.000515255,786,0.000760315
785,-0.047111075,785,-0.000162275,785,0.008770693,785,-0.000231876,785,-0.000286567,785,0.002975954,785,0.000769391,785,0.000520594,785,0.00136143,785,0.000420721,785,0.000833966
784,-0.047290936,784,-9.41E-05,784,0.008809128,784,-0.000296086,784,-0.000247244,784,0.002933524,784,0.000783109,784,0.000533734,784,0.001278343,784,0.00033986,784,0.000753625
783,-0.047476433,783,-0.000235912,783,0.008751491,783,-0.00022872,783,-0.000267837,783,0.00293772,783,0.00070314,783,0.000463658,783,0.001357301,783,0.000348695,783,0.000721264
782,-0.047788803,782,-3.43E-05,782,0.008828465,782,-0.000118645,782,-0.000221165,782,0.003070863,782,0.000809354,782,0.000665287,782,0.001371635,782,0.000469644,782,0.000822632
781,-0.048001301,781,1.77E-05,781,0.00888812,781,-0.000275236,781,-0.000190168,781,0.003088826,781,0.000807097,781,0.000640062,781,0.001398227,781,0.000493304,781,0.000806682
780,-0.048175,780,-3.84E-05,780,0.008917025,780,-0.000212627,780,-9.75E-05,780,0.00296188,780,0.000807149,780,0.00057619,780,0.001316587,780,0.000392039,780,0.000673842
779,-0.048357621,779,-9.55E-05,779,0.008821147,779,-0.000252263,779,-0.000169313,779,0.00300473,779,0.000828105,779,0.000509553,779,0.001325337,779,0.000382504,779,0.000744756
778,-0.048632655,778,7.67E-05,778,0.008781365,778,-0.000162068,778,-0.000260904,778,0.003038903,778,0.000867788,778,0.000386572,778,0.001386489,778,0.000459745,778,0.000891054
777,-0.048832197,777,7.12E-05,777,0.008805932,777,-0.000191928,777,-0.000258834,777,0.003102539,777,0.000866776,777,0.000801055,777,0.001321416,777,0.000460315,777,0.000756918
776,-0.049081869,776,4.43E-06,776,0.00889454,776,-0.000197776,776,-0.000294534,776,0.003142066,776,0.000930509,776,0.000689969,776,0.001398461,776,0.000515359,776,0.00079203
775,-0.049247097,775,-9.89E-05,775,0.008766731,775,-0.000253401,775,-0.000239897,775,0.003129237,775,0.000831761,775,0.000757073,775,0.001368649,775,0.000395977,775,0.000805567
774,-0.049458191,774,-9.84E-07,774,0.008872796,774,-0.000194619,774,-0.000227944,774,0.002960368,774,0.000703633,774,0.00068188,774,0.001370778,774,0.000436812,774,0.000785858
773,-0.049681738,773,-8.38E-05,773,0.00864939,773,-0.000323609,773,-0.000231618,773,0.003083534,773,0.000958605,773,0.000717426,773,0.001338657,773,0.000361881,773,0.000798565
772,-0.049999539,772,6.83E-06,772,0.008835703,772,-9.78E-05,772,-0.000168019,772,0.003238471,772,0.00095461,772,0.000771336,772,0.001506429,772,0.000540058,772,0.000899407
771,-0.050118845,771,-8.00E-05,771,0.008717076,771,-0.000260335,771,-0.000237154,771,0.00312178,771,0.000784587,771,0.000601152,771,0.001336164,771,0.000340482,771,0.000728057
770,-0.05040019,770,-4.63E-05,770,0.008865794,770,-0.000236585,770,-0.000177697,770,0.002942333,770,0.000903012,770,0.00057339,770,0.001385035,770,0.000364161,770,0.00080925
769,-0.050526205,769,-0.00015327,769,0.008765675,769,-0.000309641,769,-0.000263646,769,0.003024436,769,0.000755595,769,0.000517847,769,0.00128164,769,0.000309396,769,0.000742578
768,-0.050812442,768,-2.89E-05,768,0.008756879,768,-0.000286153,768,-0.000171435,768,0.003074461,768,0.000892792,768,0.000582385,768,0.001307837,768,0.00040888,768,0.000780464
767,-0.051031061,767,-8.49E-06,767,0.0088896,767,-0.0002593,767,-0.000277926,767,0.002958153,767,0.0008356,767,0.00042238,767,0.001313341,767,0.000333954,767,0.000773851
766,-0.051217176,766,-4.97E-05,766,0.008729806,766,-0.000284238,766,-0.000296914,766,0.002998839,766,0.000840969,766,0.000544983,766,0.00125856,766,0.000382867,766,0.000704333
765,-0.051442578,765,-2.85E-05,765,0.008800674,765,-0.000258783,765,-0.000299139,765,0.003014087,765,0.000792704,765,0.000596252,765,0.00127193,765,0.000314344,765,0.000658287
764,-0.051749628,764,-1.80E-05,764,0.008869493,764,-0.000263594,764,-0.000143333,764,0.003135391,764,0.000911495,764,0.000682943,764,0.001283561,764,0.000417534,764,0.000837908
763,-0.051965706,763,-4.58E-05,763,0.008959093,763,-0.000220027,763,-0.000184838,763,0.003115784,763,0.000873624,763,0.000648461,763,0.001345227,763,0.000357244,763,0.000781294
762,-0.052131541,762,-5.30E-05,762,0.008875755,762,-0.000299087,762,-0.000340164,762,0.003016564,762,0.000867424,762,0.000743563,762,0.001311498,762,0.000318177,762,0.000696606
