Sample:	'PbX2(EX)
File name:	PbX2_20251114_170552.FDS
Operator:	YQFX
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	3041-006
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Excitation
Data mode:	Fluorescence
EM WL:	511.0 nm
EX  Start WL:	300.0 nm
EX  End WL:	500.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Data points
nm	Data
300.0	1239
300.2	1238
300.4	1233
300.6	1221
300.8	1214
301.0	1215
301.2	1213
301.4	1207
301.6	1201
301.8	1198
302.0	1190
302.2	1187
302.4	1180
302.6	1167
302.8	1167
303.0	1164
303.2	1163
303.4	1164
303.6	1159
303.8	1155
304.0	1154
304.2	1151
304.4	1149
304.6	1144
304.8	1136
305.0	1136
305.2	1131
305.4	1137
305.6	1136
305.8	1132
306.0	1132
306.2	1137
306.4	1135
306.6	1140
306.8	1136
307.0	1140
307.2	1139
307.4	1140
307.6	1136
307.8	1138
308.0	1142
308.2	1142
308.4	1143
308.6	1143
308.8	1145
309.0	1150
309.2	1149
309.4	1156
309.6	1158
309.8	1159
310.0	1159
310.2	1161
310.4	1167
310.6	1171
310.8	1177
311.0	1179
311.2	1183
311.4	1183
311.6	1183
311.8	1192
312.0	1191
312.2	1192
312.4	1194
312.6	1200
312.8	1203
313.0	1205
313.2	1209
313.4	1220
313.6	1225
313.8	1228
314.0	1233
314.2	1236
314.4	1238
314.6	1241
314.8	1246
315.0	1251
315.2	1254
315.4	1260
315.6	1266
315.8	1271
316.0	1273
316.2	1272
316.4	1273
316.6	1274
316.8	1279
317.0	1283
317.2	1291
317.4	1297
317.6	1297
317.8	1303
318.0	1305
318.2	1307
318.4	1314
318.6	1314
318.8	1321
319.0	1324
319.2	1329
319.4	1335
319.6	1339
319.8	1333
320.0	1333
320.2	1328
320.4	1327
320.6	1329
320.8	1329
321.0	1327
321.2	1323
321.4	1324
321.6	1324
321.8	1319
322.0	1318
322.2	1311
322.4	1307
322.6	1307
322.8	1306
323.0	1300
323.2	1292
323.4	1284
323.6	1288
323.8	1290
324.0	1285
324.2	1281
324.4	1281
324.6	1274
324.8	1266
325.0	1262
325.2	1252
325.4	1246
325.6	1243
325.8	1238
326.0	1229
326.2	1218
326.4	1211
326.6	1202
326.8	1194
327.0	1183
327.2	1182
327.4	1172
327.6	1164
327.8	1158
328.0	1148
328.2	1143
328.4	1132
328.6	1125
328.8	1121
329.0	1109
329.2	1097
329.4	1090
329.6	1081
329.8	1073
330.0	1069
330.2	1058
330.4	1048
330.6	1040
330.8	1032
331.0	1019
331.2	1012
331.4	1003
331.6	997.1
331.8	990.5
332.0	977.1
332.2	970.2
332.4	965.3
332.6	957.7
332.8	949.4
333.0	940.5
333.2	930.9
333.4	923.1
333.6	914.0
333.8	909.2
334.0	899.0
334.2	892.3
334.4	882.2
334.6	872.1
334.8	861.6
335.0	854.7
335.2	845.3
335.4	839.2
335.6	830.0
335.8	823.8
336.0	815.8
336.2	810.1
336.4	802.6
336.6	794.7
336.8	783.5
337.0	776.8
337.2	771.0
337.4	767.1
337.6	756.4
337.8	750.9
338.0	740.9
338.2	733.4
338.4	727.2
338.6	721.4
338.8	714.6
339.0	706.9
339.2	700.3
339.4	697.7
339.6	691.6
339.8	686.3
340.0	679.6
340.2	672.8
340.4	668.9
340.6	662.3
340.8	656.7
341.0	651.4
341.2	648.3
341.4	642.8
341.6	634.7
341.8	631.4
342.0	625.6
342.2	617.2
342.4	614.4
342.6	611.1
342.8	606.9
343.0	599.7
343.2	596.2
343.4	592.8
343.6	591.0
343.8	590.2
344.0	586.0
344.2	580.6
344.4	573.5
344.6	570.6
344.8	567.2
345.0	566.7
345.2	563.1
345.4	562.5
345.6	558.3
345.8	556.1
346.0	551.1
346.2	548.3
346.4	547.5
346.6	546.7
346.8	547.6
347.0	542.8
347.2	545.0
347.4	542.3
347.6	540.8
347.8	542.2
348.0	539.9
348.2	540.6
348.4	538.1
348.6	534.3
348.8	535.5
349.0	534.2
349.2	533.0
349.4	531.9
349.6	532.2
349.8	530.3
350.0	531.2
350.2	530.6
350.4	530.8
350.6	532.4
350.8	530.2
351.0	532.7
351.2	532.7
351.4	532.1
351.6	538.2
351.8	538.2
352.0	539.1
352.2	540.1
352.4	541.3
352.6	537.9
352.8	540.4
353.0	545.5
353.2	544.7
353.4	546.2
353.6	546.8
353.8	549.5
354.0	549.0
354.2	549.1
354.4	553.8
354.6	554.9
354.8	555.9
355.0	560.5
355.2	560.3
355.4	560.6
355.6	563.9
355.8	566.8
356.0	569.1
356.2	568.3
356.4	575.1
356.6	577.4
356.8	580.3
357.0	580.7
357.2	582.3
357.4	584.9
357.6	585.4
357.8	587.8
358.0	592.9
358.2	595.2
358.4	595.5
358.6	601.0
358.8	604.7
359.0	607.5
359.2	608.6
359.4	611.4
359.6	615.2
359.8	617.7
360.0	622.3
360.2	623.6
360.4	625.0
360.6	626.1
360.8	627.2
361.0	628.5
361.2	630.8
361.4	634.0
361.6	639.3
361.8	642.9
362.0	646.2
362.2	646.7
362.4	650.1
362.6	653.3
362.8	655.6
363.0	658.7
363.2	663.1
363.4	666.4
363.6	665.9
363.8	664.3
364.0	667.7
364.2	672.0
364.4	676.6
364.6	678.1
364.8	681.3
365.0	681.3
365.2	681.7
365.4	682.6
365.6	686.0
365.8	689.2
366.0	693.6
366.2	696.6
366.4	696.6
366.6	700.0
366.8	702.1
367.0	701.6
367.2	704.4
367.4	707.8
367.6	709.5
367.8	712.1
368.0	711.7
368.2	714.1
368.4	716.9
368.6	718.8
368.8	723.4
369.0	722.7
369.2	724.4
369.4	723.1
369.6	725.7
369.8	725.7
370.0	726.6
370.2	727.8
370.4	723.8
370.6	724.3
370.8	728.0
371.0	727.8
371.2	726.1
371.4	727.3
371.6	729.1
371.8	733.2
372.0	732.7
372.2	731.1
372.4	734.5
372.6	735.8
372.8	736.4
373.0	734.7
373.2	735.5
373.4	738.1
373.6	735.0
373.8	736.4
374.0	739.4
374.2	738.3
374.4	741.4
374.6	743.6
374.8	744.0
375.0	746.1
375.2	743.9
375.4	743.6
375.6	743.2
375.8	740.9
376.0	742.5
376.2	741.3
376.4	739.6
376.6	739.9
376.8	741.0
377.0	741.4
377.2	743.3
377.4	742.3
377.6	743.7
377.8	743.3
378.0	741.9
378.2	743.7
378.4	743.5
378.6	743.2
378.8	741.1
379.0	737.1
379.2	739.7
379.4	736.5
379.6	735.0
379.8	736.4
380.0	736.5
380.2	736.5
380.4	733.7
380.6	734.1
380.8	735.8
381.0	734.6
381.2	733.8
381.4	734.9
381.6	731.8
381.8	733.2
382.0	731.6
382.2	731.3
382.4	729.1
382.6	727.8
