Sample:	'PbX2(EM)
File name:	PbX2_20251114_171929.FDS
Operator:	YQFX
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	3041-006
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	272.0 nm
EM  Start WL:	290.0 nm
EM  End WL:	450.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Data points
nm	Data
290.0	40.97
290.2	39.69
290.4	39.79
290.6	41.66
290.8	41.37
291.0	39.93
291.2	41.40
291.4	44.72
291.6	45.09
291.8	44.29
292.0	44.87
292.2	45.76
292.4	46.21
292.6	45.81
292.8	45.68
293.0	47.50
293.2	46.83
293.4	47.93
293.6	50.24
293.8	52.33
294.0	53.85
294.2	54.39
294.4	54.58
294.6	54.78
294.8	57.74
295.0	60.55
295.2	61.34
295.4	64.93
295.6	66.42
295.8	70.34
296.0	75.41
296.2	79.81
296.4	84.64
296.6	90.29
296.8	96.11
297.0	101.0
297.2	105.4
297.4	111.6
297.6	120.1
297.8	128.2
298.0	136.8
298.2	144.8
298.4	151.1
298.6	158.5
298.8	168.7
299.0	170.4
299.2	176.0
299.4	179.1
299.6	186.9
299.8	192.5
300.0	199.7
300.2	200.7
300.4	203.1
300.6	207.3
300.8	213.2
301.0	214.7
301.2	215.1
301.4	215.3
301.6	216.2
301.8	216.4
302.0	211.9
302.2	210.1
302.4	206.7
302.6	199.5
302.8	200.7
303.0	200.0
303.2	199.6
303.4	197.8
303.6	195.7
303.8	195.2
304.0	195.2
304.2	192.9
304.4	194.8
304.6	197.7
304.8	200.8
305.0	207.1
305.2	210.8
305.4	217.6
305.6	214.4
305.8	220.2
306.0	225.9
306.2	231.8
306.4	230.7
306.6	238.6
306.8	243.8
307.0	247.6
307.2	256.9
307.4	264.2
307.6	276.9
307.8	282.5
308.0	291.7
308.2	299.9
308.4	315.1
308.6	318.0
308.8	330.7
309.0	340.5
309.2	351.9
309.4	365.1
309.6	369.5
309.8	381.6
310.0	391.4
310.2	397.5
310.4	412.4
310.6	423.9
310.8	439.9
311.0	457.4
311.2	472.9
311.4	483.2
311.6	493.5
311.8	506.7
312.0	523.4
312.2	537.9
312.4	549.3
312.6	565.4
312.8	583.7
313.0	598.4
313.2	615.7
313.4	634.7
313.6	649.0
313.8	665.2
314.0	682.3
314.2	697.4
314.4	707.6
314.6	730.2
314.8	749.5
315.0	773.5
315.2	790.4
315.4	800.5
315.6	811.7
315.8	830.1
316.0	841.2
316.2	860.1
316.4	880.7
316.6	894.9
316.8	911.6
317.0	933.9
317.2	954.7
317.4	966.9
317.6	975.6
317.8	1006
318.0	1034
318.2	1059
318.4	1082
318.6	1098
318.8	1120
319.0	1153
319.2	1179
319.4	1209
319.6	1234
319.8	1250
320.0	1286
320.2	1303
320.4	1323
320.6	1337
320.8	1351
321.0	1376
321.2	1408
321.4	1429
321.6	1448
321.8	1476
322.0	1499
322.2	1527
322.4	1544
322.6	1574
322.8	1604
323.0	1623
323.2	1643
323.4	1665
323.6	1693
323.8	1721
324.0	1746
324.2	1746
324.4	1775
324.6	1790
324.8	1810
325.0	1845
325.2	1880
325.4	1906
325.6	1934
325.8	1950
326.0	1985
