Sample:	'PbX2(EM)
File name:	best-emission-Ó«¹âËØÄÆ.FDS
Operator:	YQFX
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	3041-006
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	488.0 nm
EM  Start WL:	490.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Data points
nm	Data
490.0	2850
490.2	2842
490.4	2827
490.6	2797
490.8	2770
491.0	2740
491.2	2709
491.4	2672
491.6	2640
491.8	2605
492.0	2577
492.2	2548
492.4	2515
492.6	2502
492.8	2488
493.0	2471
493.2	2461
493.4	2453
493.6	2456
493.8	2460
494.0	2470
494.2	2490
494.4	2510
494.6	2531
494.8	2558
495.0	2590
495.2	2627
495.4	2665
495.6	2710
495.8	2753
496.0	2799
496.2	2853
496.4	2908
496.6	2962
496.8	3010
497.0	3070
497.2	3136
497.4	3200
497.6	3258
497.8	3320
498.0	3386
498.2	3449
498.4	3503
498.6	3572
498.8	3636
499.0	3700
499.2	3763
499.4	3829
499.6	3894
499.8	3952
500.0	4013
500.2	4074
500.4	4136
500.6	4207
500.8	4270
501.0	4334
501.2	4395
501.4	4454
501.6	4526
501.8	4587
502.0	4645
502.2	4707
502.4	4766
502.6	4818
502.8	4877
503.0	4927
503.2	4985
503.4	5043
503.6	5097
503.8	5158
504.0	5217
504.2	5266
504.4	5324
504.6	5372
504.8	5413
505.0	5461
505.2	5508
505.4	5559
505.6	5599
505.8	5647
506.0	5688
506.2	5728
506.4	5756
506.6	5797
506.8	5827
507.0	5871
507.2	5896
507.4	5920
507.6	5950
507.8	5978
508.0	6001
508.2	6034
508.4	6060
508.6	6077
508.8	6108
509.0	6128
509.2	6147
509.4	6170
509.6	6185
509.8	6198
510.0	6217
510.2	6232
510.4	6243
510.6	6253
510.8	6265
511.0	6280
511.2	6281
511.4	6284
511.6	6289
511.8	6290
512.0	6290
512.2	6282
512.4	6273
512.6	6268
512.8	6265
513.0	6263
513.2	6253
513.4	6252
513.6	6242
513.8	6241
514.0	6226
514.2	6214
514.4	6204
514.6	6184
514.8	6165
515.0	6155
515.2	6133
515.4	6119
515.6	6108
515.8	6093
516.0	6078
516.2	6060
516.4	6042
516.6	6018
516.8	5992
517.0	5970
517.2	5943
517.4	5913
517.6	5885
517.8	5855
518.0	5825
518.2	5791
518.4	5764
518.6	5738
518.8	5706
519.0	5679
519.2	5648
519.4	5627
519.6	5600
519.8	5570
520.0	5529
520.2	5497
520.4	5464
520.6	5429
520.8	5396
521.0	5365
521.2	5333
521.4	5296
521.6	5254
521.8	5222
522.0	5186
522.2	5152
522.4	5123
522.6	5083
522.8	5043
523.0	5005
523.2	4963
523.4	4935
523.6	4900
523.8	4861
524.0	4837
524.2	4798
524.4	4760
524.6	4726
524.8	4692
525.0	4648
525.2	4610
525.4	4576
525.6	4535
525.8	4497
526.0	4464
526.2	4427
526.4	4391
526.6	4357
526.8	4326
527.0	4292
527.2	4250
527.4	4212
527.6	4180
527.8	4148
528.0	4118
528.2	4078
528.4	4041
528.6	4005
528.8	3974
529.0	3941
529.2	3898
529.4	3859
529.6	3824
529.8	3785
530.0	3752
530.2	3718
530.4	3684
530.6	3654
530.8	3622
531.0	3594
531.2	3560
531.4	3532
531.6	3500
531.8	3471
532.0	3441
532.2	3411
532.4	3380
532.6	3347
532.8	3317
533.0	3287
533.2	3264
533.4	3235
533.6	3209
533.8	3182
534.0	3153
534.2	3128
534.4	3101
534.6	3073
534.8	3047
535.0	3023
535.2	2995
535.4	2962
535.6	2939
535.8	2916
536.0	2882
536.2	2853
536.4	2832
536.6	2806
536.8	2777
537.0	2756
537.2	2729
537.4	2706
537.6	2686
537.8	2662
538.0	2639
538.2	2619
538.4	2595
538.6	2572
538.8	2551
539.0	2537
539.2	2517
539.4	2497
539.6	2477
539.8	2459
540.0	2434
540.2	2416
540.4	2396
540.6	2376
540.8	2353
541.0	2333
541.2	2316
541.4	2295
541.6	2276
541.8	2259
542.0	2238
542.2	2220
542.4	2201
542.6	2179
542.8	2162
543.0	2146
543.2	2134
543.4	2120
543.6	2099
543.8	2079
544.0	2062
544.2	2043
544.4	2025
544.6	2010
544.8	1992
545.0	1978
545.2	1960
545.4	1944
545.6	1934
545.8	1916
546.0	1896
546.2	1881
546.4	1868
546.6	1853
546.8	1840
547.0	1829
547.2	1813
547.4	1799
547.6	1789
547.8	1779
548.0	1760
548.2	1748
548.4	1738
548.6	1725
548.8	1712
549.0	1698
549.2	1684
549.4	1669
549.6	1660
549.8	1646
550.0	1633
550.2	1619
550.4	1607
550.6	1595
550.8	1582
551.0	1569
551.2	1557
551.4	1542
551.6	1530
551.8	1517
552.0	1506
552.2	1494
552.4	1484
552.6	1467
552.8	1455
553.0	1445
553.2	1433
553.4	1425
553.6	1416
553.8	1404
554.0	1391
554.2	1382
554.4	1369
554.6	1359
554.8	1346
555.0	1334
555.2	1320
555.4	1310
555.6	1300
555.8	1289
556.0	1278
556.2	1266
556.4	1253
556.6	1242
556.8	1231
557.0	1222
557.2	1212
557.4	1203
557.6	1190
557.8	1183
558.0	1173
558.2	1161
558.4	1148
558.6	1138
558.8	1129
559.0	1124
559.2	1115
559.4	1104
559.6	1094
559.8	1081
560.0	1071
560.2	1060
560.4	1051
560.6	1041
560.8	1033
561.0	1022
561.2	1014
561.4	1003
561.6	993.9
561.8	983.2
562.0	974.2
562.2	968.5
562.4	963.5
562.6	954.2
562.8	945.3
563.0	931.6
563.2	922.0
563.4	911.2
563.6	902.5
563.8	892.4
564.0	886.4
564.2	878.4
564.4	870.6
564.6	861.8
564.8	854.3
565.0	849.6
565.2	843.2
565.4	833.3
565.6	824.7
565.8	817.9
566.0	811.9
566.2	805.1
566.4	794.7
566.6	787.0
566.8	779.9
567.0	771.5
567.2	762.9
567.4	758.3
567.6	749.4
567.8	740.3
568.0	734.6
568.2	726.9
568.4	719.3
568.6	712.5
568.8	701.4
569.0	696.6
569.2	690.6
569.4	682.6
569.6	674.4
569.8	669.8
570.0	663.6
570.2	657.6
570.4	649.7
570.6	642.3
570.8	639.6
571.0	631.4
571.2	624.8
571.4	616.8
571.6	612.3
571.8	607.3
572.0	600.9
572.2	595.6
572.4	587.0
572.6	581.6
572.8	576.6
573.0	571.4
573.2	565.0
573.4	559.4
573.6	554.0
573.8	549.3
574.0	546.1
574.2	539.2
574.4	536.3
574.6	530.1
574.8	524.6
575.0	520.0
575.2	514.1
575.4	509.0
575.6	503.5
575.8	498.5
576.0	492.8
576.2	487.1
576.4	480.9
576.6	477.6
576.8	472.7
577.0	465.2
577.2	460.3
577.4	454.3
577.6	450.2
577.8	446.1
578.0	440.8
578.2	436.9
578.4	432.1
578.6	427.8
578.8	423.9
579.0	419.9
579.2	415.3
579.4	412.3
579.6	408.5
579.8	404.7
580.0	401.1
580.2	395.9
580.4	392.9
580.6	390.0
580.8	385.7
581.0	381.7
581.2	377.5
581.4	373.7
581.6	370.1
581.8	365.6
582.0	363.8
582.2	358.2
582.4	355.5
582.6	352.6
582.8	349.6
583.0	345.7
583.2	342.5
583.4	339.7
583.6	336.2
583.8	330.9
584.0	328.3
584.2	324.5
584.4	321.1
584.6	318.6
584.8	313.8
585.0	311.6
585.2	307.8
585.4	304.0
585.6	301.1
585.8	298.8
586.0	295.4
586.2	291.9
586.4	288.6
586.6	288.4
586.8	285.5
587.0	283.0
587.2	278.9
587.4	278.0
587.6	275.9
587.8	272.5
588.0	268.6
588.2	264.9
588.4	262.8
588.6	260.1
588.8	257.3
589.0	255.3
589.2	252.6
589.4	250.7
589.6	248.2
589.8	245.4
590.0	242.4
590.2	238.9
590.4	237.0
590.6	234.6
590.8	234.5
591.0	232.0
591.2	230.2
591.4	228.1
591.6	224.8
591.8	222.2
592.0	220.2
592.2	218.6
592.4	217.0
592.6	214.0
592.8	211.3
593.0	209.8
593.2	207.1
593.4	205.0
593.6	204.1
593.8	201.6
594.0	199.8
594.2	197.4
594.4	196.0
594.6	194.4
594.8	192.4
595.0	192.1
595.2	190.1
595.4	187.0
595.6	183.6
595.8	182.6
596.0	181.0
596.2	179.5
596.4	177.4
596.6	174.4
596.8	172.2
597.0	171.4
597.2	171.0
597.4	169.1
597.6	166.9
597.8	165.7
598.0	163.5
598.2	163.4
598.4	162.9
598.6	161.1
598.8	159.8
599.0	157.9
599.2	157.1
599.4	155.1
599.6	153.4
599.8	151.5
600.0	149.6
600.2	148.2
600.4	146.3
600.6	145.0
600.8	144.0
601.0	142.4
601.2	140.6
601.4	139.1
601.6	137.9
601.8	136.1
602.0	134.8
602.2	134.2
602.4	132.5
602.6	131.7
602.8	129.8
603.0	130.1
603.2	127.4
603.4	126.0
603.6	124.9
603.8	124.7
604.0	123.6
604.2	122.4
604.4	121.0
604.6	119.8
604.8	118.9
605.0	118.6
605.2	117.1
605.4	115.5
605.6	114.4
605.8	113.2
606.0	110.5
606.2	110.0
606.4	109.0
606.6	109.0
606.8	108.4
607.0	107.8
607.2	106.2
607.4	105.1
607.6	104.4
607.8	103.0
608.0	102.4
608.2	100.7
608.4	99.37
608.6	98.33
608.8	96.10
