Sample:	'PbX2(EX)
File name:	PbX2_20251114_172134.FDS
Operator:	YQFX
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	3041-006
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Excitation
Data mode:	Fluorescence
EM WL:	349.0 nm
EX  Start WL:	240.0 nm
EX  End WL:	295.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Data points
nm	Data
240.0	691.5
240.2	686.8
240.4	691.6
240.6	697.0
240.8	690.6
241.0	688.1
241.2	700.5
241.4	705.9
241.6	706.1
241.8	716.5
242.0	717.7
242.2	724.4
242.4	735.3
242.6	733.4
242.8	736.5
243.0	731.2
243.2	741.1
243.4	743.8
243.6	756.0
243.8	768.8
244.0	786.7
244.2	785.7
244.4	794.0
244.6	807.1
244.8	814.5
245.0	828.8
245.2	847.2
245.4	853.5
245.6	852.8
245.8	861.6
246.0	870.5
246.2	880.4
246.4	884.6
246.6	903.5
246.8	922.1
247.0	930.6
247.2	936.9
247.4	944.8
247.6	968.6
247.8	981.1
248.0	995.2
248.2	1011
248.4	1032
248.6	1035
248.8	1053
249.0	1063
249.2	1082
249.4	1102
249.6	1127
249.8	1136
250.0	1161
250.2	1172
250.4	1194
250.6	1219
250.8	1220
251.0	1236
251.2	1258
251.4	1275
251.6	1295
251.8	1311
252.0	1335
252.2	1360
252.4	1380
252.6	1392
252.8	1423
253.0	1440
253.2	1463
253.4	1488
253.6	1510
253.8	1530
254.0	1561
254.2	1586
254.4	1602
254.6	1621
254.8	1627
255.0	1646
255.2	1683
255.4	1703
255.6	1734
255.8	1757
256.0	1782
256.2	1808
256.4	1832
256.6	1851
256.8	1881
257.0	1927
257.2	1959
257.4	1979
257.6	1995
257.8	2025
258.0	2049
258.2	2067
258.4	2087
258.6	2117
258.8	2155
259.0	2185
259.2	2219
259.4	2257
259.6	2292
259.8	2311
260.0	2330
260.2	2358
260.4	2398
260.6	2430
260.8	2451
261.0	2474
261.2	2501
261.4	2526
261.6	2560
261.8	2572
262.0	2611
262.2	2630
262.4	2655
262.6	2685
262.8	2724
263.0	2745
263.2	2785
263.4	2791
263.6	2819
263.8	2864
264.0	2900
264.2	2944
264.4	2963
264.6	2976
264.8	3029
265.0	3049
265.2	3070
265.4	3088
265.6	3123
265.8	3153
266.0	3193
266.2	3230
266.4	3240
266.6	3264
266.8	3283
267.0	3316
267.2	3327
267.4	3347
267.6	3385
267.8	3416
268.0	3434
268.2	3463
268.4	3482
268.6	3497
268.8	3520
269.0	3538
269.2	3544
269.4	3561
269.6	3565
269.8	3585
270.0	3602
270.2	3610
270.4	3640
270.6	3665
270.8	3682
271.0	3685
271.2	3680
271.4	3696
271.6	3704
271.8	3720
272.0	3734
272.2	3736
272.4	3738
272.6	3745
272.8	3769
273.0	3785
273.2	3771
273.4	3772
273.6	3780
273.8	3794
274.0	3782
274.2	3772
274.4	3786
274.6	3793
274.8	3781
275.0	3792
275.2	3798
275.4	3819
275.6	3812
275.8	3809
276.0	3814
276.2	3809
276.4	3792
276.6	3808
276.8	3806
277.0	3813
277.2	3808
277.4	3804
277.6	3808
277.8	3809
278.0	3810
278.2	3810
278.4	3798
278.6	3799
278.8	3784
279.0	3781
279.2	3755
279.4	3750
279.6	3735
279.8	3717
280.0	3701
280.2	3688
280.4	3672
280.6	3666
280.8	3640
281.0	3625
281.2	3599
281.4	3577
281.6	3541
281.8	3508
282.0	3470
282.2	3418
282.4	3378
282.6	3347
282.8	3310
283.0	3271
283.2	3228
283.4	3191
283.6	3156
283.8	3120
284.0	3071
284.2	3052
284.4	3022
284.6	2994
284.8	2974
285.0	2949
285.2	2944
285.4	2922
285.6	2914
285.8	2905
286.0	2890
286.2	2884
286.4	2873
286.6	2856
286.8	2841
287.0	2820
287.2	2808
287.4	2790
287.6	2764
287.8	2747
288.0	2716
288.2	2676
288.4	2632
288.6	2598
288.8	2546
289.0	2506
289.2	2456
289.4	2396
289.6	2330
289.8	2262
290.0	2204
290.2	2141
290.4	2082
290.6	2020
290.8	1944
291.0	1882
291.2	1821
291.4	1751
291.6	1687
291.8	1620
292.0	1556
292.2	1496
292.4	1434
292.6	1378
292.8	1313
293.0	1259
293.2	1205
293.4	1153
293.6	1111
293.8	1065
294.0	1016
294.2	969.4
294.4	923.7
294.6	886.5
294.8	847.5
295.0	810.1

